         558350302 function calls (558344634 primitive calls) in 475.387 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _util.py:119(_maybe_convert_usecols)
        2    0.000    0.000    0.000    0.000 _util.py:57(make_assert)
        2    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        2    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
    65536    0.322    0.000    1.763    0.000 _xlrd.py:101(<listcomp>)
        2    0.000    0.000  470.417  235.209 _xlrd.py:11(__init__)
        4    0.000    0.000    0.000    0.000 _xlrd.py:23(_workbook_class)
        2    0.000    0.000  470.411  235.206 _xlrd.py:29(load_workbook)
        1    0.000    0.000    0.000    0.000 _xlrd.py:38(sheet_names)
        1    0.000    0.000    0.000    0.000 _xlrd.py:42(get_sheet_by_name)
        1    0.169    0.169    2.042    2.042 _xlrd.py:48(get_sheet_data)
   720896    0.496    0.000    1.441    0.000 _xlrd.py:59(_parse_cell)
      134    0.001    0.000    0.008    0.000 abc.py:125(__new__)
      167    0.000    0.000    0.002    0.000 abc.py:130(register)
       50    0.000    0.000    0.001    0.000 abc.py:137(__instancecheck__)
  362/186    0.000    0.000    0.002    0.000 abc.py:141(__subclasscheck__)
      159    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.001    0.001 adaptive.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adaptive.py:38(ClientRateLimiter)
        1    0.000    0.000    0.000    0.000 adaptive.py:81(RateClocker)
        1    0.000    0.000    0.000    0.000 aead.py:5(<module>)
        1    0.000    0.000    0.000    0.000 algorithms.py:106(ARC4)
        1    0.000    0.000    0.000    0.000 algorithms.py:119(IDEA)
        1    0.000    0.000    0.000    0.000 algorithms.py:133(SEED)
        1    0.000    0.000    0.000    0.000 algorithms.py:148(ChaCha20)
        1    0.000    0.000    0.000    0.000 algorithms.py:26(AES)
        1    0.000    0.000    0.000    0.000 algorithms.py:42(Camellia)
        1    0.000    0.000    0.000    0.000 algorithms.py:5(<module>)
        1    0.000    0.000    0.000    0.000 algorithms.py:57(TripleDES)
        1    0.000    0.000    0.000    0.000 algorithms.py:76(Blowfish)
        1    0.000    0.000    0.000    0.000 algorithms.py:91(CAST5)
        1    0.000    0.000    0.004    0.004 args.py:18(<module>)
        1    0.000    0.000    0.000    0.000 args.py:58(ClientArgsCreator)
        1    0.000    0.000    0.000    0.000 ast.py:5(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:125(SigV3Auth)
        1    0.000    0.000    0.000    0.000 auth.py:14(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:151(SigV4Auth)
        1    0.000    0.000    0.000    0.000 auth.py:413(S3SigV4Auth)
        1    0.000    0.000    0.000    0.000 auth.py:460(SigV4QueryAuth)
        1    0.000    0.000    0.000    0.000 auth.py:549(S3SigV4QueryAuth)
        1    0.000    0.000    0.000    0.000 auth.py:57(BaseSigner)
